"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.507029708E0,6.597380676E0,-7.238497467E0,-1.913470917E0
3.526949708E0,6.831643524E0,-7.242838440E0,-1.587598572E0
3.546869708E0,7.044201508E0,-7.177873535E0,-1.228195953E0
3.566789709E0,7.240892487E0,-7.329358521E0,-7.917036438E-1
3.586709708E0,7.462282104E0,-7.513325958E0,-5.578898621E-1
3.606629708E0,7.719147949E0,-7.673193512E0,-3.739224243E-1
3.626549708E0,7.809859314E0,-7.728428650E0,-3.787124634E-1
3.646469709E0,7.999963989E0,-7.371570740E0,-5.289999390E-1
3.666389708E0,8.668623505E0,-7.244934082E0,-7.858657837E-1
3.686309708E0,9.809700623E0,-9.018895111E0,-7.451504517E-1
3.706229708E0,9.336983643E0,-1.035890854E1,-7.685018921E-1
3.726149708E0,8.567134552E0,-1.038046371E1,-7.993377686E-1
3.746069708E0,8.455167389E0,-8.712033234E0,-7.752378845E-1
3.765989708E0,8.495583344E0,-7.098388824E0,-8.047265625E-1
3.785909709E0,8.851393433E0,-6.571185150E0,-6.200106812E-1
3.805829708E0,8.830287323E0,-7.450157318E0,-3.597019958E-1
3.825750709E0,7.744595032E0,-8.055797882E0,-2.291734314E-1
3.845670708E0,7.157964935E0,-8.484356689E0,-1.913021851E-1
3.865590708E0,7.027436371E0,-8.386011200E0,-4.011657715E-1
3.885510708E0,7.486531677E0,-8.312064972E0,-4.806504822E-1
3.905430709E0,7.704328766E0,-8.075556793E0,-6.209088135E-1
3.925350708E0,7.490273895E0,-7.587721252E0,-6.132746887E-1
3.945270708E0,7.148085480E0,-7.290439453E0,-4.569996643E-1
3.965190708E0,6.397396545E0,-7.388784943E0,-2.389031982E-1
3.985110709E0,5.631888428E0,-7.713160400E0,6.930587769E-2
4.005030708E0,4.868925018E0,-7.996670837E0,2.157014465E-1
4.024950708E0,4.202211456E0,-8.179590454E0,1.910028076E-1
4.044870709E0,3.522325287E0,-8.319100342E0,8.622070312E-2
4.064790708E0,3.027005310E0,-8.488098907E0,-1.320254517E-1
4.084710708E0,3.013084259E0,-8.532107391E0,-2.754272461E-1
4.104630708E0,3.183879089E0,-8.368048553E0,-2.409988403E-1
4.124550709E0,3.420836334E0,-8.090076599E0,-1.173559570E-1
4.144470708E0,3.805835724E0,-8.099057922E0,1.431024170E-1
4.164390708E0,4.055067444E0,-8.573421478E0,1.896556091E-1
4.184311708E0,4.047882385E0,-9.193432159E0,-1.513352966E-1
4.204231708E0,3.982169037E0,-9.428892517E0,-5.740562439E-1
4.224151708E0,4.059258728E0,-9.314230957E0,-5.722599792E-1
4.244071709E0,4.975204010E0,-8.982670441E0,-5.569917297E-1
4.263991708E0,7.104825439E0,-1.007150620E1,-1.175206146E0
4.283911708E0,6.942263489E0,-1.004067032E1,-2.836301880E0
4.303831708E0,5.439089355E0,-9.717043304E0,-3.412453766E0
4.323751708E0,4.227059784E0,-9.311237183E0,-2.206262054E0
4.343671708E0,4.475992126E0,-7.952961731E0,-1.106049957E0
4.363591750E0,5.964945831E0,-6.940766602E0,-4.251159668E-1
4.383511750E0,7.783214722E0,-7.434739380E0,-7.388635254E-1
4.403431750E0,7.980803833E0,-7.596852264E0,-1.830243988E0
4.423351750E0,7.693700867E0,-7.660020905E0,-2.332000580E0
4.443271750E0,7.249873810E0,-7.837402039E0,-2.063009949E0
4.463191750E0,6.842870178E0,-7.868537292E0,-1.750010834E0
4.483111750E0,6.367458801E0,-7.262597351E0,-1.722318420E0
4.503031750E0,5.835465088E0,-6.604565735E0,-1.596579895E0
4.522952750E0,5.219046936E0,-6.071224823E0,-1.127156067E0
4.542872750E0,4.824617157E0,-5.771997070E0,-8.792715454E-1
4.562792750E0,4.465513916E0,-5.784720612E0,-1.152603149E0
4.582712750E0,4.330045624E0,-5.949976959E0,-1.568887482E0
4.602632750E0,4.507875824E0,-6.251899109E0,-1.720971222E0
4.622552750E0,4.970114594E0,-6.575825500E0,-1.628762970E0
4.642472750E0,5.572911072E0,-6.809339905E0,-1.542691956E0
4.662392750E0,6.090684357E0,-6.998995514E0,-1.697320404E0
4.682312750E0,6.406976624E0,-7.007228394E0,-1.743574219E0
4.702232750E0,6.722370758E0,-6.790628815E0,-1.735491028E0
4.722152750E0,7.024442596E0,-6.702462158E0,-1.630708923E0
4.742072750E0,7.513625336E0,-7.076683960E0,-1.406026154E0
4.761992750E0,7.616162109E0,-7.594008179E0,-1.253193970E0
4.781912750E0,7.945626984E0,-7.753576355E0,-9.949809265E-1
4.801832750E0,8.281229095E0,-7.812404022E0,-6.411167908E-1
4.821752750E0,8.827443237E0,-7.593559113E0,-7.322772217E-1
4.841672750E0,1.023646317E1,-9.197922821E0,-6.872209167E-1
4.861592750E0,9.776469727E0,-1.033840118E1,-4.878355408E-1
4.881513750E0,9.028325500E0,-1.047401917E1,-5.442681885E-1
4.901433750E0,8.390950928E0,-9.057963867E0,-1.276695099E0
4.921353750E0,8.147257690E0,-7.409441986E0,-1.713187408E0
4.941273750E0,8.257129211E0,-6.721023560E0,-1.528770905E0
4.961193750E0,8.205336914E0,-7.604935455E0,-9.831555176E-1
4.981113750E0,7.140900421E0,-8.175249481E0,-5.230123901E-1
5.001033750E0,6.576873322E0,-8.324040070E0,-1.252894592E-1
5.020953750E0,6.431525574E0,-8.239765320E0,8.921447754E-2
5.040873750E0,6.757248230E0,-7.924221497E0,-4.864883423E-2
5.060793750E0,7.153923340E0,-7.605234833E0,-2.233355713E-1
5.080713750E0,7.194339294E0,-7.147486725E0,-5.349874878E-1
5.100633750E0,7.026987305E0,-6.675069122E0,-8.852590942E-1
5.120553750E0,6.578669586E0,-6.618636475E0,-1.152902527E0
5.140473750E0,5.833219757E0,-6.824757843E0,-1.213676147E0
5.160393750E0,5.083878021E0,-7.004384308E0,-1.138233032E0
5.180313750E0,4.645439758E0,-7.184609528E0,-9.292675781E-1
5.200234750E0,4.502636719E0,-7.363637238E0,-6.831793213E-1
5.220154750E0,4.282743988E0,-7.694898376E0,-5.331912231E-1
5.240074750E0,4.055815887E0,-8.123457184E0,-5.899232483E-1
5.259994750E0,3.734733582E0,-8.266409912E0,-8.828640747E-1
5.279914750E0,3.877536621E0,-8.220605164E0,-8.319699097E-1
5.299834750E0,4.287384338E0,-8.350085907E0,-5.303471375E-1
5.319754750E0,4.532275085E0,-8.707093506E0,-3.481759644E-1
5.339674750E0,4.475093994E0,-9.016649780E0,-5.586383057E-1
5.359594834E0,4.745282135E0,-9.152118073E0,-7.803273010E-1
5.379514833E0,4.802612915E0,-8.799750824E0,-1.065634003E0
5.399434833E0,5.455704803E0,-9.169481964E0,-1.143472137E0
5.419354833E0,6.581813049E0,-1.054616913E1,-1.486408997E0
5.439274834E0,6.111640778E0,-1.060170364E1,-2.141147461E0
5.459194833E0,5.364843750E0,-9.761500854E0,-2.171384583E0
5.479114833E0,4.541555786E0,-8.696166229E0,-1.277892609E0
5.499034833E0,4.616849213E0,-7.337142334E0,-3.914360046E-1
5.518955833E0,5.900130615E0,-6.319109344E0,-3.143463135E-1
5.538875833E0,7.819289703E0,-6.798113251E0,-1.087039490E0
5.558795833E0,8.107590179E0,-7.146588593E0,-2.078427887E0
5.578715833E0,7.328161011E0,-7.682474213E0,-2.533631287E0
5.598635833E0,6.451583862E0,-8.100255432E0,-2.200873260E0
5.618555834E0,5.974226532E0,-8.065677338E0,-1.634002075E0
5.638475833E0,5.516927490E0,-7.743397522E0,-1.104104004E0
5.658395833E0,4.881498871E0,-7.011569366E0,-9.448352051E-1
5.678315833E0,4.600383453E0,-6.358477478E0,-9.961784363E-1
5.698235834E0,4.670587463E0,-6.128106537E0,-1.258732452E0
5.718155833E0,4.760849762E0,-6.160289612E0,-1.646575928E0
5.738075833E0,4.914879456E0,-6.255042572E0,-1.948498077E0
5.757995833E0,5.121599579E0,-6.399043121E0,-2.030826874E0
5.777915834E0,5.433401184E0,-6.504873047E0,-1.706900482E0
5.797835833E0,5.709427185E0,-6.690936127E0,-1.303788757E0
5.817755833E0,5.835764465E0,-6.850504303E0,-1.048569489E0
5.837675833E0,6.054010620E0,-6.904691620E0,-1.200054474E0
