"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.027154625E0,4.379507899E-1,8.093192577E-1,2.558325529E-1
5.047073625E0,1.060392261E-1,7.431619167E-1,-2.053909898E-1
5.066993625E0,-3.607071638E-1,4.517735541E-1,-4.919593632E-1
5.086912625E0,-3.294142783E-1,2.595009282E-3,-5.799252391E-1
5.106831625E0,1.861378402E-1,-1.464200139E0,-5.891844630E-1
5.126751625E0,3.097018600E-1,-1.476203322E0,-8.197422624E-1
5.146671041E0,1.073258758E0,-2.310820341E0,-1.653788209E0
5.166591042E0,1.335167289E0,-2.663378716E0,-1.079988241E0
5.186510041E0,5.494619608E-1,-4.805173278E-1,-2.993662059E-1
5.206430042E0,-6.146065146E-2,1.288648099E-1,4.080665708E-1
5.226349042E0,3.336287737E-1,-9.864547253E-1,1.767444015E0
5.246269042E0,1.148267016E-1,-7.258274555E-1,2.268768311E0
5.266188042E0,4.315698743E-1,2.159412205E-2,2.477042198E0
5.286108042E0,9.481193423E-1,3.714682758E-1,2.322423697E0
5.306027042E0,1.173466444E0,9.648272395E-1,2.279395580E0
5.325947042E0,1.203910589E0,1.368175745E0,2.202921867E0
5.345866042E0,1.199047685E0,1.208948612E0,1.341549277E0
5.365786042E0,8.874808550E-1,6.849381328E-1,8.165670037E-1
5.385705042E0,4.089175463E-1,-2.502493560E-1,5.528935194E-1
5.405625042E0,2.222180068E-1,-7.862238884E-1,5.578094721E-1
5.425544042E0,1.963182837E-1,-1.106189489E0,8.752111197E-1
5.445464042E0,4.428093135E-1,-1.286959529E0,7.893862724E-1
5.465383042E0,1.018611073E0,-9.425967932E-1,7.544099092E-1
5.485303042E0,1.105118632E0,-2.904294133E-1,1.338180900E0
5.505222042E0,8.350040317E-1,7.992789149E-2,1.746886611E0
5.525142042E0,3.487808108E-1,1.487984508E-1,1.576267242E0
5.545061042E0,5.535477027E-2,5.209710002E-1,1.043224335E0
5.564981041E0,1.179538816E-1,3.335476816E-1,7.762451172E-1
5.584900042E0,2.142238915E-1,-1.315281242E-1,5.165008903E-1
5.604820041E0,3.752150834E-1,-2.307054847E-1,5.734784603E-1
5.624739042E0,2.606903613E-1,8.457344770E-2,5.651875138E-1
5.644659041E0,-1.151197627E-1,5.461794138E-2,1.250215620E-1
5.664578042E0,-1.012577415E-1,-9.075930715E-1,-7.695289254E-1
5.684498041E0,-4.173804820E-1,-2.335167408E0,-1.853748083E0
5.704417042E0,-9.961667061E-1,-2.472045183E0,-2.057062864E0
5.724337041E0,-1.425394535E0,-1.471463442E0,-1.692595243E0
5.744256041E0,-1.622152805E0,1.524478346E-1,-1.699198246E0
5.764176041E0,-1.323403835E0,1.033240557E0,-1.824004173E0
5.784095041E0,-9.107495546E-1,1.451039195E0,-1.650273561E0
5.804015042E0,-8.420365453E-1,1.743685603E0,-1.672550917E0
5.823934041E0,-8.896543384E-1,2.816602468E0,-1.776139259E0
5.843854042E0,-6.144787669E-1,3.626660824E0,-1.850214124E0
5.863773041E0,-3.114795089E-1,3.105747938E0,-1.666067123E0
5.883693042E0,-2.891030014E-1,1.851028800E0,-1.407673717E0
5.903612041E0,-3.804861605E-1,4.833618104E-1,-1.385951638E0
5.923532042E0,-5.190141797E-1,-6.360510588E-1,-1.524054646E0
5.943451041E0,-6.026286483E-1,-1.336458325E0,-1.573219895E0
5.963371042E0,-6.812309623E-1,-1.944202185E0,-1.593934059E0
5.983290042E0,-7.485228181E-1,-2.227121353E0,-1.533007860E0
6.003210042E0,-7.031056881E-1,-2.195072412E0,-1.261153340E0
6.023129042E0,-5.156387687E-1,-1.716645002E0,-8.273429275E-1
6.043049042E0,-9.227757901E-2,-1.227758765E0,-1.917092502E-1
6.062968042E0,7.762930989E-1,1.470329314E-1,3.173230886E-1
6.082888042E0,1.216710091E0,9.737614393E-1,-3.371005356E-1
6.102807042E0,6.860714555E-1,9.550105333E-1,-4.283465445E-1
6.122727042E0,4.279708862E-1,8.129894733E-1,-1.432351917E-1
6.142646166E0,6.046597362E-1,6.724476069E-2,1.748192012E-1
6.162566166E0,6.197726727E-1,-1.211756825E0,6.706420183E-1
6.182485166E0,1.936683804E-1,-6.462585330E-1,7.027224302E-1
6.202405166E0,2.421636134E-1,-3.023075581E0,-1.073594838E-1
6.222324166E0,-1.765969992E-1,-3.519659042E0,-2.098011672E-1
6.242244167E0,7.336654663E-1,-1.750964373E-1,-3.309028447E-1
6.262163166E0,1.790119767E0,3.550092578E-1,5.051119328E-1
6.282083167E0,1.000774264E0,3.383454308E-2,2.214565516E0
6.302002166E0,7.910917997E-1,3.440976143E-1,3.202178717E0
6.321922167E0,1.178502440E0,7.421062589E-1,3.866819143E0
6.341841166E0,1.655003548E0,1.211204886E0,3.802588701E0
6.361760166E0,1.718002915E0,1.982894063E0,3.570386648E0
6.381680166E0,1.661256075E0,2.034249544E0,2.508103371E0
6.401600167E0,1.325333714E0,1.327537537E0,1.401304960E0
6.421519167E0,9.990085959E-1,1.989412606E-1,1.171524286E0
6.441438166E0,8.660172820E-1,-2.540323436E-1,1.192566156E0
6.461358167E0,6.383799911E-1,-4.045160115E-1,1.011063695E0
6.481277166E0,2.024862021E-1,-4.844484329E-1,5.084216595E-1
6.501197167E0,7.890911698E-1,-9.756479263E-1,7.005066872E-1
6.521116166E0,9.590983987E-1,-1.382682920E-1,1.214311361E0
6.541036167E0,4.910497963E-1,5.038141012E-1,8.957012296E-1
6.560955166E0,3.623051941E-1,2.625155747E-1,9.559070468E-1
6.580875167E0,6.411214471E-1,1.152950644E0,9.536329508E-1
6.600794167E0,4.626753032E-1,9.758094549E-1,6.790022254E-1
6.620714167E0,3.054358959E-1,1.779719442E-1,2.653533518E-1
6.640634167E0,-2.619211972E-1,-5.500672460E-1,-2.404698730E-1
6.660553167E0,-2.181030661E-1,-9.290578961E-1,-1.135493159E0
6.680472167E0,-7.400388718E-1,-1.982335567E0,-2.199711800E0
6.700392167E0,-1.864550829E0,-1.734235168E0,-2.810600996E0
6.720311167E0,-2.989171505E0,-8.628851771E-1,-3.709623814E0
6.740231167E0,-3.182772398E0,-3.904854059E-1,-3.640756130E0
6.760150167E0,-1.613803029E0,1.658990860E0,-2.180999994E0
6.780070167E0,-1.647245646E0,2.562827587E0,-2.010195494E0
6.799990166E0,-2.008209944E0,2.356191874E0,-2.541929007E0
6.819909167E0,-1.558120966E0,3.278962374E0,-2.337171555E0
6.839828167E0,-7.108659744E-1,3.234191656E0,-1.389805198E0
6.859748167E0,-3.560949862E-1,2.198019743E0,-9.300344586E-1
6.879667167E0,-6.896227002E-1,8.568508029E-1,-1.063790321E0
6.899587166E0,-8.079915643E-1,2.699203193E-1,-6.513761878E-1
6.919506167E0,-7.465273738E-1,1.284011174E-3,-5.103881359E-1
6.939426166E0,-7.336907387E-1,-1.443214118E-1,-3.029068708E-1
6.959345167E0,-6.586445570E-1,-7.358223200E-1,-2.786422670E-1
6.979265166E0,4.226726592E-1,-1.057851434E0,-9.065800160E-2
6.999184167E0,1.678498626E0,-3.609270453E-1,9.375016689E-1
7.019104166E0,2.269955158E0,6.887907982E-1,2.018319845E0
7.039023167E0,2.234420776E0,1.455703616E0,1.442159772E0
7.058943166E0,1.913555264E-1,-4.879156053E-1,-2.242381312E-2
7.078862166E0,-5.887954235E-1,-1.459540009E0,-2.472786188E0
7.098782166E0,-1.733398288E-1,-2.876666307E0,-1.738301396E0
7.118701166E0,-3.045638800E0,-3.959517241E0,4.802760780E-1
7.138620250E0,3.992014527E-1,-3.325927734E0,1.125505924E0
7.158539250E0,2.705497742E0,-8.061072826E-1,2.804956913E0
7.178459250E0,2.843331099E0,1.751946211E0,3.978729725E0
7.198378250E0,3.133247375E0,1.438661575E0,5.049292564E0
7.218298250E0,3.048409939E0,-5.584090948E-1,5.701331139E0
7.238217250E0,2.936784744E0,-2.693265915E0,2.675523996E0
7.258137250E0,1.715718508E0,-2.685983181E0,9.763830304E-1
7.278056250E0,8.051142097E-1,-1.315090537E0,1.017282248E0
7.297976250E0,6.290215850E-1,-5.863486528E-1,9.518420100E-1
7.317895250E0,-7.734993100E-2,-5.905913115E-1,1.026769400E0
7.337815250E0,-5.629302859E-1,-1.022382975E0,4.818587899E-1
7.357734250E0,-8.320961595E-1,-1.256887078E0,-3.172442615E-1
7.377654250E0,-1.119784832E0,-8.915420771E-1,-1.030358434E0
7.397573250E0,-1.195717096E0,-1.697641462E-1,-1.793416142E0
7.417493250E0,-1.292114615E0,4.196192920E-1,-2.243254185E0
7.437412250E0,-1.313101292E0,1.000331759E0,-2.318152189E0
7.457332250E0,-1.838784933E0,2.565264463E0,-2.577744007E0
7.477251250E0,-4.567747593E0,4.119692326E0,-4.353797436E0
7.497171250E0,-2.118871212E0,1.023535252E0,-4.537440300E0
7.517090250E0,-2.417007923E0,5.338539124E0,-2.919106483E0
7.537010250E0,-2.550092459E0,4.152572632E0,-2.889262199E0
7.556929250E0,-3.314824700E-1,4.932331085E0,-2.032434464E0
7.576849250E0,1.340619802E0,3.640147209E0,-1.787123799E0
7.596768250E0,-2.807729542E-1,-1.013211966E0,-1.912705421E0
7.616688250E0,-1.650519252E0,-2.706868887E0,-7.408850193E-1
7.636607250E0,-1.463632703E0,-2.377261877E0,-7.398727536E-1
