"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.278631291E0,-1.140585221E0,3.527999425E-1,-7.965672847E-1
5.298550291E0,-1.791554278E0,-1.911969352E-1,1.119973347E0
5.318469292E0,-1.703584234E0,6.658633769E-2,1.637706871E0
5.338387291E0,-4.440986601E-1,4.361712974E-1,1.120719379E0
5.358306292E0,1.528564352E0,-5.002275449E-1,2.147518953E-1
5.378225292E0,4.127763537E0,-2.124315081E0,-4.214485566E-1
5.398144292E0,7.190814008E0,-2.877214848E0,-1.371651542E0
5.418062292E0,6.298092697E0,-1.538007166E0,-3.783838499E0
5.437981292E0,4.000335459E0,-7.861049348E-1,-4.346814854E0
5.457900292E0,1.675773999E0,-1.889951661E0,-3.701489822E0
5.477819291E0,3.168859054E-1,-3.088425633E0,-2.766529979E0
5.497737292E0,-9.827979603E-1,-3.290669128E0,-1.370286802E0
5.517656291E0,-8.728290832E-1,-3.580485787E0,-9.334746498E-1
5.537575291E0,-1.191450588E0,-3.280276871E0,-4.137817240E-1
5.557494292E0,-1.370070309E0,-1.529607641E0,-1.584449261E-1
5.577412291E0,-9.099445769E-1,-4.829852754E-1,-1.108702254E-1
5.597331292E0,-8.154089870E-1,-3.337263250E-1,5.204302962E-1
5.617250292E0,-1.059360671E0,-2.478209038E0,2.013179977E0
5.637169292E0,-1.790063092E0,-3.067869161E0,2.537979276E0
5.657087292E0,-1.451220599E0,-2.568474845E0,9.383809023E-1
5.677006292E0,-2.359213229E0,-2.370410355E0,-7.319319436E-1
5.696925291E0,-5.262529171E0,-4.006553096E-1,-1.805016907E0
5.716844291E0,-6.377796094E0,2.394026089E0,-8.928756773E-1
5.736762292E0,-3.904300789E0,4.487292455E0,5.192032215E-1
5.756681291E0,-9.599026758E-1,4.279479488E0,2.685897752E0
5.776600291E0,9.040255867E-1,1.848468005E0,2.241235713E0
5.796519292E0,2.210381710E0,1.017641811E0,4.640125224E-1
5.816437291E0,1.246599334E0,1.092914772E-1,-6.480817017E-1
5.836356292E0,-1.025886385E0,2.283378058E0,-1.034055530E0
5.856275292E0,-1.062583218E0,2.668187413E0,3.494413018E-1
5.876194292E0,-2.152669107E0,2.912451339E0,1.480543070E0
